Algoritmo,Tamanho,Threads,Amostra,TempoMS
MergeSort,50000,10,1,2
QuickSort,50000,10,1,2
CountingSort,50000,10,1,2
BubbleSort,50000,10,1,1640
MergeSort,50000,10,2,4
QuickSort,50000,10,2,2
CountingSort,50000,10,2,0
BubbleSort,50000,10,2,1557
MergeSort,50000,10,3,1
QuickSort,50000,10,3,2
CountingSort,50000,10,3,1
BubbleSort,50000,10,3,1657
MergeSort,50000,10,4,2
QuickSort,50000,10,4,2
CountingSort,50000,10,4,2
BubbleSort,50000,10,4,1570
MergeSort,50000,10,5,2
QuickSort,50000,10,5,2
CountingSort,50000,10,5,1
BubbleSort,50000,10,5,1745
MergeSort,50000,15,1,2
QuickSort,50000,15,1,2
CountingSort,50000,15,1,2
BubbleSort,50000,15,1,1605
MergeSort,50000,15,2,1
QuickSort,50000,15,2,3
CountingSort,50000,15,2,1
BubbleSort,50000,15,2,1616
MergeSort,50000,15,3,2
QuickSort,50000,15,3,2
CountingSort,50000,15,3,1
BubbleSort,50000,15,3,1570
MergeSort,50000,15,4,2
QuickSort,50000,15,4,2
CountingSort,50000,15,4,1
BubbleSort,50000,15,4,1609
MergeSort,50000,15,5,2
QuickSort,50000,15,5,2
CountingSort,50000,15,5,1
BubbleSort,50000,15,5,1559
MergeSort,50000,20,1,2
QuickSort,50000,20,1,4
CountingSort,50000,20,1,2
BubbleSort,50000,20,1,1576
MergeSort,50000,20,2,2
QuickSort,50000,20,2,2
CountingSort,50000,20,2,2
BubbleSort,50000,20,2,1577
MergeSort,50000,20,3,3
QuickSort,50000,20,3,2
CountingSort,50000,20,3,1
BubbleSort,50000,20,3,1587
MergeSort,50000,20,4,2
QuickSort,50000,20,4,4
CountingSort,50000,20,4,1
BubbleSort,50000,20,4,1581
MergeSort,50000,20,5,1
QuickSort,50000,20,5,2
CountingSort,50000,20,5,1
BubbleSort,50000,20,5,1555
MergeSort,100000,1,1,7
QuickSort,100000,1,1,8
CountingSort,100000,1,1,4
MergeSort,100000,1,2,7
QuickSort,100000,1,2,10
CountingSort,100000,1,2,2
MergeSort,100000,1,3,6
QuickSort,100000,1,3,9
CountingSort,100000,1,3,2
MergeSort,100000,1,4,7
QuickSort,100000,1,4,9
CountingSort,100000,1,4,3
MergeSort,100000,1,5,7
QuickSort,100000,1,5,9
CountingSort,100000,1,5,3
MergeSort,100000,2,1,5
QuickSort,100000,2,1,6
CountingSort,100000,2,1,3
MergeSort,100000,2,2,4
QuickSort,100000,2,2,5
CountingSort,100000,2,2,3
MergeSort,100000,2,3,5
QuickSort,100000,2,3,5
CountingSort,100000,2,3,3
MergeSort,100000,2,4,4
QuickSort,100000,2,4,5
CountingSort,100000,2,4,4
MergeSort,100000,2,5,3
QuickSort,100000,2,5,6
CountingSort,100000,2,5,3
MergeSort,100000,5,1,5
QuickSort,100000,5,1,4
CountingSort,100000,5,1,3
MergeSort,100000,5,2,4
QuickSort,100000,5,2,3
CountingSort,100000,5,2,2
MergeSort,100000,5,3,3
QuickSort,100000,5,3,4
CountingSort,100000,5,3,2
MergeSort,100000,5,4,3
QuickSort,100000,5,4,3
CountingSort,100000,5,4,3
MergeSort,100000,5,5,5
QuickSort,100000,5,5,4
CountingSort,100000,5,5,2
MergeSort,100000,10,1,3
QuickSort,100000,10,1,4
CountingSort,100000,10,1,3
MergeSort,100000,10,2,3
QuickSort,100000,10,2,3
CountingSort,100000,10,2,2
MergeSort,100000,10,3,3
QuickSort,100000,10,3,3
CountingSort,100000,10,3,2
MergeSort,100000,10,4,3
QuickSort,100000,10,4,3
CountingSort,100000,10,4,3
MergeSort,100000,10,5,3
QuickSort,100000,10,5,4
CountingSort,100000,10,5,2
MergeSort,100000,15,1,3
QuickSort,100000,15,1,3
CountingSort,100000,15,1,2
MergeSort,100000,15,2,3
QuickSort,100000,15,2,4
CountingSort,100000,15,2,3
MergeSort,100000,15,3,3
QuickSort,100000,15,3,4
CountingSort,100000,15,3,3
MergeSort,100000,15,4,3
QuickSort,100000,15,4,4
CountingSort,100000,15,4,3
MergeSort,100000,15,5,2
QuickSort,100000,15,5,4
CountingSort,100000,15,5,2
MergeSort,100000,20,1,3
QuickSort,100000,20,1,3
CountingSort,100000,20,1,3
MergeSort,100000,20,2,3
QuickSort,100000,20,2,3
CountingSort,100000,20,2,3
MergeSort,100000,20,3,3
QuickSort,100000,20,3,3
CountingSort,100000,20,3,3
MergeSort,100000,20,4,4
QuickSort,100000,20,4,4
CountingSort,100000,20,4,2
MergeSort,100000,20,5,3
QuickSort,100000,20,5,3
CountingSort,100000,20,5,2
